Gender,Race/Ethnicity,Parental level of education,Lunch,Test preparation course,Math score,Reading score,Writing score
Female,group B,bachelor's degree,standard,None,72,72,74
Female,group C,some college,standard,Completed,69,90,88
Female,group B,master's degree,standard,None,90,95,93
Male,group A,associate's degree,free/reduced,None,47,57,44
Male,group C,some college,standard,None,76,78,75
Female,group B,associate's degree,standard,None,71,83,78
Female,group B,some college,standard,Completed,88,95,92
Male,group B,some college,free/reduced,None,40,43,39
Male,group D,high school,free/reduced,Completed,64,64,67
Female,group B,high school,free/reduced,None,38,60,50
Male,group C,associate's degree,standard,None,58,54,52
Male,group D,associate's degree,standard,None,40,52,43
Female,group B,high school,standard,None,65,81,73
Male,group A,some college,standard,Completed,78,72,70
Female,group A,master's degree,standard,None,50,53,58
Female,group C,some high school,standard,None,69,75,78
Male,group C,high school,standard,None,88,89,86
Female,group B,some high school,free/reduced,None,18,32,28
Male,group C,master's degree,free/reduced,Completed,46,42,46
Female,group C,associate's degree,free/reduced,None,54,58,61
Male,group D,high school,standard,None,66,69,63
Female,group B,some college,free/reduced,Completed,65,75,70
Male,group D,some college,standard,None,44,54,53
Female,group C,some high school,standard,None,69,73,73
Male,group D,bachelor's degree,free/reduced,Completed,74,71,80
Male,group A,master's degree,free/reduced,None,73,74,72
Male,group B,some college,standard,None,69,54,55
Female,group C,bachelor's degree,standard,None,67,69,75
Male,group C,high school,standard,None,70,70,65
Female,group D,master's degree,standard,None,62,70,75
Female,group D,some college,standard,None,69,74,74
Female,group B,some college,standard,None,63,65,61
Female,group E,master's degree,free/reduced,None,56,72,65
Male,group D,some college,standard,None,40,42,38
Male,group E,some college,standard,None,97,87,82
Male,group E,associate's degree,standard,Completed,81,81,79
Female,group D,associate's degree,standard,None,74,81,83
Female,group D,some high school,free/reduced,None,50,64,59
Female,group D,associate's degree,free/reduced,Completed,75,90,88
Male,group B,associate's degree,free/reduced,None,57,56,57
Male,group C,associate's degree,free/reduced,None,55,61,54
Female,group C,associate's degree,standard,None,58,73,68
Female,group B,associate's degree,standard,None,53,58,65
Male,group B,some college,free/reduced,Completed,59,65,66
Female,group E,associate's degree,free/reduced,None,50,56,54
Male,group B,associate's degree,standard,None,65,54,57
Female,group A,associate's degree,standard,Completed,55,65,62
Female,group C,high school,standard,None,66,71,76
Female,group D,associate's degree,free/reduced,Completed,57,74,76
Male,group C,high school,standard,Completed,82,84,82
Male,group E,some college,standard,None,53,55,48
Male,group E,associate's degree,free/reduced,Completed,77,69,68
Male,group C,some college,standard,None,53,44,42
Male,group D,high school,standard,None,88,78,75
Female,group C,some high school,free/reduced,Completed,71,84,87
Female,group C,high school,free/reduced,None,33,41,43
Female,group E,associate's degree,standard,Completed,82,85,86
Male,group D,associate's degree,standard,None,52,55,49
Male,group D,some college,standard,Completed,58,59,58
Female,group C,some high school,free/reduced,None,0,17,10
Male,group E,bachelor's degree,free/reduced,Completed,79,74,72
Male,group A,some high school,free/reduced,None,39,39,34
Male,group A,associate's degree,free/reduced,None,62,61,55
Female,group C,associate's degree,standard,None,69,80,71
Female,group D,some high school,standard,None,59,58,59
Male,group B,some high school,standard,None,67,64,61
Male,group D,some high school,free/reduced,None,45,37,37
Female,group C,some college,standard,None,60,72,74
Male,group B,associate's degree,free/reduced,None,61,58,56
Female,group C,associate's degree,standard,None,39,64,57
Female,group D,some college,free/reduced,Completed,58,63,73
Male,group D,some college,standard,Completed,63,55,63
Female,group A,associate's degree,free/reduced,None,41,51,48
Male,group C,some high school,free/reduced,None,61,57,56
Male,group C,some high school,standard,None,49,49,41
Male,group B,associate's degree,free/reduced,None,44,41,38
Male,group E,some high school,standard,None,30,26,22
Male,group A,bachelor's degree,standard,Completed,80,78,81
Female,group D,some high school,standard,Completed,61,74,72
Female,group E,master's degree,standard,None,62,68,68
Female,group B,associate's degree,standard,None,47,49,50
Male,group B,high school,free/reduced,None,49,45,45
Male,group A,some college,free/reduced,Completed,50,47,54
Male,group E,associate's degree,standard,None,72,64,63
Male,group D,high school,free/reduced,None,42,39,34
Female,group C,some college,standard,None,73,80,82
Female,group C,some college,free/reduced,None,76,83,88
Female,group D,associate's degree,standard,None,71,71,74
Female,group A,some college,standard,None,58,70,67
Female,group D,some high school,standard,None,73,86,82
Female,group C,bachelor's degree,standard,None,65,72,74
Male,group C,high school,free/reduced,None,27,34,36
Male,group C,high school,standard,None,71,79,71
Male,group C,associate's degree,free/reduced,Completed,43,45,50
Female,group B,some college,standard,None,79,86,92
Male,group C,associate's degree,free/reduced,Completed,78,81,82
Male,group B,some high school,standard,Completed,65,66,62
Female,group E,some college,standard,Completed,63,72,70
Female,group D,some college,free/reduced,None,58,67,62
Female,group D,bachelor's degree,standard,None,65,67,62
Male,group B,some college,standard,None,79,67,67
Male,group D,bachelor's degree,standard,Completed,68,74,74
Female,group D,associate's degree,standard,None,85,91,89
Male,group B,high school,standard,Completed,60,44,47
Male,group C,some college,standard,Completed,98,86,90
Female,group C,some college,standard,None,58,67,72
Female,group D,master's degree,standard,None,87,100,100
Male,group E,associate's degree,standard,Completed,66,63,64
Female,group B,associate's degree,free/reduced,None,52,76,70
Female,group B,some high school,standard,None,70,64,72
Female,group D,associate's degree,free/reduced,Completed,77,89,98
Male,group C,high school,standard,None,62,55,49
Male,group A,associate's degree,standard,None,54,53,47
Female,group D,some college,standard,None,51,58,54
Female,group E,bachelor's degree,standard,Completed,99,100,100
Male,group C,high school,standard,None,84,77,74
Female,group B,bachelor's degree,free/reduced,None,75,85,82
Female,group D,bachelor's degree,standard,None,78,82,79
Female,group D,some high school,standard,None,51,63,61
Female,group C,some college,standard,None,55,69,65
Female,group C,bachelor's degree,standard,Completed,79,92,89
Male,group B,associate's degree,standard,Completed,91,89,92
Female,group C,some college,standard,Completed,88,93,93
Male,group D,high school,free/reduced,None,63,57,56
Male,group E,some college,standard,None,83,80,73
Female,group B,high school,standard,None,87,95,86
Male,group B,some high school,standard,None,72,68,67
Male,group D,some college,standard,Completed,65,77,74
Male,group D,master's degree,standard,None,82,82,74
Female,group A,bachelor's degree,standard,None,51,49,51
Male,group D,master's degree,standard,None,89,84,82
Male,group C,some high school,free/reduced,Completed,53,37,40
Male,group E,some college,free/reduced,Completed,87,74,70
Female,group C,some college,standard,Completed,75,81,84
Male,group D,bachelor's degree,free/reduced,Completed,74,79,75
Male,group C,bachelor's degree,standard,None,58,55,48
Male,group B,some high school,standard,Completed,51,54,41
Male,group E,high school,standard,None,70,55,56
Female,group C,associate's degree,standard,None,59,66,67
Male,group D,some college,standard,Completed,71,61,69
Female,group D,some high school,standard,None,76,72,71
Female,group C,some college,free/reduced,None,59,62,64
Female,group E,some college,free/reduced,Completed,42,55,54
Male,group A,high school,standard,None,57,43,47
Male,group D,some college,standard,None,88,73,78
Female,group C,some college,free/reduced,None,22,39,33
Male,group B,some high school,standard,None,88,84,75
Male,group C,associate's degree,free/reduced,None,73,68,66
Female,group D,bachelor's degree,standard,Completed,68,75,81
Male,group E,associate's degree,free/reduced,Completed,100,100,93
Male,group A,some high school,standard,Completed,62,67,69
Male,group A,bachelor's degree,standard,None,77,67,68
Female,group B,associate's degree,standard,Completed,59,70,66
Male,group D,bachelor's degree,standard,None,54,49,47
Male,group D,some high school,standard,None,62,67,61
Female,group C,some college,standard,Completed,70,89,88
Female,group E,high school,free/reduced,Completed,66,74,78
Male,group B,some college,free/reduced,None,60,60,60
Female,group B,associate's degree,standard,Completed,61,86,87
Male,group D,associate's degree,free/reduced,None,66,62,64
Male,group B,associate's degree,free/reduced,Completed,82,78,74
Female,group E,some college,free/reduced,Completed,75,88,85
Male,group B,master's degree,free/reduced,None,49,53,52
Male,group C,high school,standard,None,52,53,49
Female,group E,master's degree,standard,None,81,92,91
Female,group C,bachelor's degree,standard,Completed,96,100,100
Male,group C,high school,free/reduced,Completed,53,51,51
Female,group B,master's degree,free/reduced,Completed,58,76,78
Female,group B,high school,standard,Completed,68,83,78
Female,group C,some college,free/reduced,Completed,67,75,70
Male,group A,high school,standard,Completed,72,73,74
Male,group E,some high school,standard,None,94,88,78
Female,group D,some college,standard,None,79,86,81
Female,group C,associate's degree,standard,None,63,67,70
Female,group C,bachelor's degree,free/reduced,Completed,43,51,54
Female,group C,master's degree,standard,Completed,81,91,87
Female,group B,high school,free/reduced,Completed,46,54,58
Female,group C,associate's degree,standard,Completed,71,77,77
Female,group B,master's degree,free/reduced,Completed,52,70,62
Female,group D,some high school,standard,Completed,97,100,100
Male,group C,master's degree,free/reduced,Completed,62,68,75
Female,group C,some college,free/reduced,None,46,64,66
Female,group E,high school,standard,None,50,50,47
Female,group D,associate's degree,standard,None,65,69,70
Male,group C,some high school,free/reduced,Completed,45,52,49
Male,group C,associate's degree,free/reduced,Completed,65,67,65
Male,group E,high school,standard,None,80,76,65
Male,group D,some high school,standard,Completed,62,66,68
Male,group B,some high school,free/reduced,None,48,52,45
Female,group C,bachelor's degree,standard,None,77,88,87
Female,group E,associate's degree,standard,None,66,65,69
Male,group D,some college,standard,Completed,76,83,79
Female,group B,some high school,standard,None,62,64,66
Male,group D,some college,standard,Completed,77,62,62
Female,group C,master's degree,standard,Completed,69,84,85
Male,group D,associate's degree,standard,None,61,55,52
Male,group C,some high school,free/reduced,Completed,59,69,65
Male,group E,high school,free/reduced,None,55,56,51
Female,group B,some college,free/reduced,None,45,53,55
Female,group B,bachelor's degree,free/reduced,None,78,79,76
Female,group C,associate's degree,standard,Completed,67,84,86
Female,group D,some college,free/reduced,None,65,81,77
Male,group C,associate's degree,standard,None,69,77,69
Female,group B,associate's degree,standard,None,57,69,68
Male,group C,some college,standard,None,59,41,42
Male,group D,some high school,standard,Completed,74,71,78
Male,group E,bachelor's degree,standard,None,82,62,62
Male,group E,high school,standard,Completed,81,80,76
Female,group B,some college,free/reduced,None,74,81,76
Female,group B,some college,free/reduced,None,58,61,66
Male,group D,some high school,free/reduced,Completed,80,79,79
Male,group C,some college,free/reduced,None,35,28,27
Female,group C,high school,free/reduced,None,42,62,60
Male,group C,associate's degree,free/reduced,Completed,60,51,56
Male,group E,high school,standard,Completed,87,91,81
Male,group B,some high school,standard,Completed,84,83,75
Female,group E,associate's degree,free/reduced,Completed,83,86,88
Female,group C,high school,free/reduced,None,34,42,39
Male,group B,high school,free/reduced,None,66,77,70
Male,group B,some high school,standard,Completed,61,56,56
Female,group D,high school,standard,Completed,56,68,74
Male,group B,associate's degree,standard,None,87,85,73
Female,group C,some high school,free/reduced,None,55,65,62
Male,group D,some high school,standard,None,86,80,75
Female,group B,associate's degree,standard,Completed,52,66,73
Female,group E,master's degree,free/reduced,None,45,56,54
Female,group C,some college,standard,None,72,72,71
Male,group D,high school,standard,None,57,50,54
Male,group A,some high school,free/reduced,None,68,72,64
Female,group C,some college,standard,Completed,88,95,94
Male,group D,some college,standard,None,76,64,66
Male,group C,associate's degree,standard,None,46,43,42
Female,group B,bachelor's degree,standard,None,67,86,83
Male,group E,some high school,standard,None,92,87,78
Male,group C,bachelor's degree,standard,Completed,83,82,84
Male,group D,associate's degree,standard,None,80,75,77
Male,group D,bachelor's degree,free/reduced,None,63,66,67
Female,group D,some high school,standard,Completed,64,60,74
Male,group B,some college,standard,None,54,52,51
Male,group C,associate's degree,standard,None,84,80,80
Male,group D,high school,free/reduced,Completed,73,68,66
Female,group E,bachelor's degree,standard,None,80,83,83
Female,group D,high school,standard,None,56,52,55
Male,group E,some college,standard,None,59,51,43
Male,group D,some high school,standard,None,75,74,69
Male,group C,associate's degree,standard,None,85,76,71
Male,group E,associate's degree,standard,None,89,76,74
Female,group B,high school,standard,Completed,58,70,68
Female,group B,high school,standard,None,65,64,62
Male,group C,high school,standard,None,68,60,53
Male,group A,some high school,standard,Completed,47,49,49
Female,group D,some college,free/reduced,None,71,83,83
Female,group B,some high school,standard,Completed,60,70,70
Male,group D,master's degree,standard,None,80,80,72
Male,group D,high school,standard,None,54,52,52
Female,group E,some college,standard,None,62,73,70
Female,group C,associate's degree,free/reduced,None,64,73,68
Male,group C,associate's degree,standard,Completed,78,77,77
Female,group B,some college,standard,None,70,75,78
Female,group C,master's degree,free/reduced,Completed,65,81,81
Female,group C,some high school,free/reduced,Completed,64,79,77
Male,group C,some college,standard,Completed,79,79,78
Female,group C,some high school,free/reduced,None,44,50,51
Female,group E,high school,standard,None,99,93,90
Male,group D,high school,standard,None,76,73,68
Male,group D,some high school,free/reduced,None,59,42,41
Female,group C,bachelor's degree,standard,None,63,75,81
Female,group D,high school,standard,None,69,72,77
Female,group D,associate's degree,standard,Completed,88,92,95
Female,group E,some college,free/reduced,None,71,76,70
Male,group C,bachelor's degree,standard,None,69,63,61
Male,group C,some college,standard,None,58,49,42
Female,group D,associate's degree,free/reduced,None,47,53,58
Female,group D,some college,standard,None,65,70,71
Male,group B,some college,standard,Completed,88,85,76
Male,group C,bachelor's degree,standard,None,83,78,73
Female,group C,some high school,standard,Completed,85,92,93
Female,group E,high school,standard,Completed,59,63,75
Female,group C,some high school,free/reduced,None,65,86,80
Male,group B,bachelor's degree,free/reduced,None,73,56,57
Male,group D,high school,standard,None,53,52,42
Male,group D,high school,standard,None,45,48,46
Female,group D,bachelor's degree,free/reduced,None,73,79,84
Female,group D,some college,free/reduced,Completed,70,78,78
Female,group B,some high school,standard,None,37,46,46
Male,group B,associate's degree,standard,Completed,81,82,82
Male,group E,associate's degree,standard,Completed,97,82,88
Female,group B,some high school,standard,None,67,89,82
Male,group B,bachelor's degree,free/reduced,None,88,75,76
Male,group E,some high school,standard,Completed,77,76,77
Male,group C,associate's degree,standard,None,76,70,68
Male,group D,some high school,standard,None,86,73,70
Male,group C,some high school,standard,Completed,63,60,57
Female,group E,bachelor's degree,standard,None,65,73,75
Male,group D,high school,free/reduced,Completed,78,77,80
Male,group B,associate's degree,free/reduced,None,67,62,60
Male,group A,some high school,standard,Completed,46,41,43
Male,group E,associate's degree,standard,Completed,71,74,68
Male,group C,high school,free/reduced,Completed,40,46,50
Male,group D,associate's degree,free/reduced,None,90,87,75
Male,group A,some college,free/reduced,Completed,81,78,81
Male,group D,some high school,free/reduced,None,56,54,52
Female,group C,associate's degree,standard,Completed,67,84,81
Male,group B,associate's degree,standard,None,80,76,64
Female,group C,associate's degree,standard,Completed,74,75,83
Male,group A,some college,standard,None,69,67,69
Male,group E,some college,standard,Completed,99,87,81
Male,group C,some high school,standard,None,51,52,44
Female,group B,associate's degree,free/reduced,None,53,71,67
Female,group D,high school,free/reduced,None,49,57,52
Female,group B,associate's degree,standard,None,73,76,80
Male,group B,bachelor's degree,standard,None,66,60,57
Male,group D,bachelor's degree,standard,Completed,67,61,68
Female,group C,associate's degree,free/reduced,Completed,68,67,69
Female,group C,bachelor's degree,standard,Completed,59,64,75
Male,group C,high school,standard,None,71,66,65
Female,group D,master's degree,standard,Completed,77,82,91
Male,group C,associate's degree,standard,None,83,72,78
Male,group B,bachelor's degree,standard,None,63,71,69
Female,group D,associate's degree,free/reduced,None,56,65,63
Female,group C,high school,free/reduced,Completed,67,79,84
Female,group E,high school,standard,None,75,86,79
Female,group C,some college,standard,None,71,81,80
Female,group C,some high school,free/reduced,None,43,53,53
Female,group C,high school,free/reduced,None,41,46,43
Female,group C,some college,standard,None,82,90,94
Male,group C,some college,standard,None,61,61,62
Male,group A,some college,free/reduced,None,28,23,19
Male,group C,associate's degree,standard,Completed,82,75,77
Female,group B,some high school,standard,None,41,55,51
Male,group C,high school,standard,None,71,60,61
Male,group C,associate's degree,standard,None,47,37,35
Male,group E,associate's degree,standard,Completed,62,56,53
Male,group B,associate's degree,standard,None,90,78,81
Female,group C,bachelor's degree,standard,None,83,93,95
Female,group B,some college,free/reduced,None,61,68,66
Male,group D,some high school,standard,Completed,76,70,69
Male,group C,associate's degree,standard,None,49,51,43
Female,group B,some high school,free/reduced,None,24,38,27
Female,group D,some high school,free/reduced,Completed,35,55,60
Male,group C,high school,free/reduced,None,58,61,52
Female,group C,high school,standard,None,61,73,63
Female,group B,high school,standard,Completed,69,76,74
Male,group D,associate's degree,standard,Completed,67,72,67
Male,group D,some college,standard,None,79,73,67
Female,group C,high school,standard,None,72,80,75
Male,group B,some college,standard,None,62,61,57
Female,group C,bachelor's degree,standard,Completed,77,94,95
Male,group D,high school,free/reduced,None,75,74,66
Male,group E,associate's degree,standard,None,87,74,76
Female,group B,bachelor's degree,standard,None,52,65,69
Male,group E,some college,standard,None,66,57,52
Female,group C,some college,standard,Completed,63,78,80
Female,group C,associate's degree,standard,None,46,58,57
Female,group C,some college,standard,None,59,71,70
Female,group B,bachelor's degree,standard,None,61,72,70
Male,group A,associate's degree,standard,None,63,61,61
Female,group C,some college,free/reduced,Completed,42,66,69
Male,group D,some college,free/reduced,None,59,62,61
Female,group D,some college,standard,None,80,90,89
Female,group B,high school,standard,None,58,62,59
Male,group B,some high school,standard,Completed,85,84,78
Female,group C,some college,standard,None,52,58,58
Female,group D,some high school,free/reduced,None,27,34,32
Male,group C,some college,standard,None,59,60,58
Male,group A,bachelor's degree,free/reduced,Completed,49,58,60
Male,group C,high school,standard,Completed,69,58,53
Male,group C,bachelor's degree,free/reduced,None,61,66,61
Female,group A,some high school,free/reduced,None,44,64,58
Female,group D,some high school,standard,None,73,84,85
Male,group E,some college,standard,None,84,77,71
Female,group C,some college,free/reduced,Completed,45,73,70
Male,group D,some high school,standard,None,74,74,72
Female,group D,some college,standard,Completed,82,97,96
Female,group D,bachelor's degree,standard,None,59,70,73
Male,group E,associate's degree,free/reduced,None,46,43,41
Female,group D,some high school,standard,None,80,90,82
Female,group D,master's degree,free/reduced,Completed,85,95,100
Female,group A,some high school,standard,None,71,83,77
Male,group A,bachelor's degree,standard,None,66,64,62
Female,group B,associate's degree,standard,None,80,86,83
Male,group C,associate's degree,standard,Completed,87,100,95
Male,group C,master's degree,free/reduced,None,79,81,71
Female,group E,some high school,free/reduced,None,38,49,45
Female,group A,some high school,free/reduced,None,38,43,43
Female,group E,some college,standard,None,67,76,75
Female,group E,bachelor's degree,standard,None,64,73,70
Female,group C,associate's degree,free/reduced,None,57,78,67
Female,group D,high school,standard,None,62,64,64
Male,group D,master's degree,standard,None,73,70,75
Male,group E,some high school,free/reduced,Completed,73,67,59
Female,group D,some college,standard,None,77,68,77
Male,group E,some college,standard,None,76,67,67
Male,group C,associate's degree,standard,Completed,57,54,56
Female,group C,some high school,standard,Completed,65,74,77
Male,group A,high school,free/reduced,None,48,45,41
Female,group B,high school,free/reduced,None,50,67,63
Female,group C,associate's degree,standard,None,85,89,95
Male,group B,some high school,standard,None,74,63,57
Male,group D,some high school,standard,None,60,59,54
Female,group C,some high school,standard,Completed,59,54,67
Male,group A,some college,standard,None,53,43,43
Female,group A,some college,free/reduced,None,49,65,55
Female,group D,high school,standard,Completed,88,99,100
Female,group C,high school,standard,None,54,59,62
Female,group C,some high school,standard,None,63,73,68
Male,group B,associate's degree,standard,Completed,65,65,63
Female,group B,associate's degree,standard,None,82,80,77
Female,group D,high school,free/reduced,Completed,52,57,56
Male,group D,associate's degree,standard,Completed,87,84,85
Female,group D,master's degree,standard,Completed,70,71,74
Male,group E,some college,standard,Completed,84,83,78
Male,group D,associate's degree,standard,None,71,66,60
Male,group B,some high school,standard,Completed,63,67,67
Female,group C,bachelor's degree,free/reduced,Completed,51,72,79
Male,group E,high school,standard,None,84,73,69
Male,group C,bachelor's degree,standard,Completed,71,74,68
Male,group C,associate's degree,standard,None,74,73,67
Male,group D,some college,standard,None,68,59,62
Male,group E,high school,free/reduced,Completed,57,56,54
Female,group C,associate's degree,free/reduced,Completed,82,93,93
Female,group D,high school,standard,Completed,57,58,64
Female,group D,master's degree,free/reduced,Completed,47,58,67
Female,group A,some high school,standard,Completed,59,85,80
Male,group B,some college,free/reduced,None,41,39,34
Female,group C,some college,free/reduced,None,62,67,62
Male,group C,bachelor's degree,standard,None,86,83,86
Male,group C,some high school,free/reduced,None,69,71,65
Male,group A,some high school,free/reduced,None,65,59,53
Male,group C,some high school,free/reduced,None,68,63,54
Male,group C,associate's degree,free/reduced,None,64,66,59
Female,group C,high school,standard,None,61,72,70
Male,group C,high school,standard,None,61,56,55
Female,group A,some high school,free/reduced,None,47,59,50
Male,group C,some high school,standard,None,73,66,66
Male,group C,some college,free/reduced,Completed,50,48,53
Male,group D,associate's degree,standard,None,75,68,64
Male,group D,associate's degree,free/reduced,None,75,66,73
Male,group C,high school,standard,None,70,56,51
Male,group D,some high school,standard,Completed,89,88,82
Female,group C,some college,standard,Completed,67,81,79
Female,group D,high school,standard,None,78,81,80
Female,group A,some high school,free/reduced,None,59,73,69
Female,group B,associate's degree,standard,None,73,83,76
Male,group A,some high school,free/reduced,None,79,82,73
Female,group C,some high school,standard,Completed,67,74,77
Male,group D,some college,free/reduced,None,69,66,60
Male,group C,high school,standard,Completed,86,81,80
Male,group B,high school,standard,None,47,46,42
Male,group B,associate's degree,standard,None,81,73,72
Female,group C,some college,free/reduced,Completed,64,85,85
Female,group E,some college,standard,None,100,92,97
Female,group C,associate's degree,free/reduced,None,65,77,74
Male,group C,some college,free/reduced,None,65,58,49
Female,group C,associate's degree,free/reduced,None,53,61,62
Male,group C,bachelor's degree,free/reduced,None,37,56,47
Female,group D,bachelor's degree,standard,None,79,89,89
Male,group D,associate's degree,free/reduced,None,53,54,48
Female,group E,bachelor's degree,standard,None,100,100,100
Male,group B,high school,standard,Completed,72,65,68
Male,group C,bachelor's degree,free/reduced,None,53,58,55
Male,group B,some college,free/reduced,None,54,54,45
Female,group E,some college,standard,None,71,70,76
Female,group C,some college,free/reduced,None,77,90,91
Male,group A,bachelor's degree,standard,Completed,75,58,62
Female,group C,some college,standard,None,84,87,91
Female,group D,associate's degree,free/reduced,None,26,31,38
Male,group A,high school,free/reduced,Completed,72,67,65
Female,group A,high school,free/reduced,Completed,77,88,85
Male,group C,some college,standard,None,91,74,76
Female,group C,associate's degree,standard,Completed,83,85,90
Female,group C,high school,standard,None,63,69,74
Female,group C,associate's degree,standard,Completed,68,86,84
Female,group D,some high school,standard,None,59,67,61
Female,group B,associate's degree,standard,Completed,90,90,91
Female,group D,bachelor's degree,standard,Completed,71,76,83
Male,group E,bachelor's degree,standard,Completed,76,62,66
Male,group D,associate's degree,standard,None,80,68,72
Female,group D,master's degree,standard,None,55,64,70
Male,group E,associate's degree,standard,None,76,71,67
Male,group B,high school,standard,Completed,73,71,68
Female,group D,associate's degree,free/reduced,None,52,59,56
Male,group C,some college,free/reduced,None,68,68,61
Male,group A,high school,standard,None,59,52,46
Female,group B,associate's degree,standard,None,49,52,54
Male,group C,high school,standard,None,70,74,71
Male,group D,some college,free/reduced,None,61,47,56
Female,group C,associate's degree,free/reduced,None,60,75,74
Male,group B,some high school,standard,Completed,64,53,57
Male,group A,associate's degree,free/reduced,Completed,79,82,82
Female,group A,associate's degree,free/reduced,None,65,85,76
Female,group C,associate's degree,standard,None,64,64,70
Female,group C,some college,standard,None,83,83,90
Female,group C,bachelor's degree,standard,None,81,88,90
Female,group B,high school,standard,None,54,64,68
Male,group D,high school,standard,Completed,68,64,66
Female,group C,some college,standard,None,54,48,52
Female,group D,some college,free/reduced,Completed,59,78,76
Female,group B,some high school,standard,None,66,69,68
