Gender,Race/Ethnicity,Parental level of education,Lunch,Test preparation course,Math score,Reading score,Writing score
Male,group E,some college,standard,None,76,71,72
Female,group D,master's degree,standard,None,74,79,82
Female,group B,associate's degree,standard,Completed,94,87,92
Male,group C,some college,free/reduced,None,63,61,54
Female,group E,associate's degree,standard,Completed,95,89,92
Female,group D,master's degree,free/reduced,None,40,59,54
Female,group B,some high school,standard,None,82,82,80
Male,group A,high school,standard,None,68,70,66
Male,group B,bachelor's degree,free/reduced,None,55,59,54
Male,group C,master's degree,standard,None,79,78,77
Female,group C,bachelor's degree,standard,None,86,92,87
Male,group D,some college,standard,None,76,71,73
Male,group A,some high school,standard,None,64,50,43
Male,group D,some high school,free/reduced,None,62,49,52
Female,group B,some high school,standard,Completed,54,61,62
Female,group B,master's degree,free/reduced,Completed,77,97,94
Female,group C,some high school,standard,Completed,76,87,85
Female,group D,some college,standard,None,74,89,84
Female,group E,some college,standard,Completed,66,74,73
Female,group D,some high school,standard,Completed,66,78,78
Female,group B,high school,free/reduced,Completed,67,78,79
Male,group D,some college,standard,None,71,49,52
Female,group C,associate's degree,standard,None,91,86,84
Male,group D,bachelor's degree,standard,None,69,58,57
Male,group C,master's degree,free/reduced,None,54,59,50
Male,group C,high school,standard,Completed,53,52,49
Male,group E,some college,standard,None,68,60,59
Male,group C,some high school,free/reduced,Completed,56,61,60
Female,group C,high school,free/reduced,None,36,53,43
Female,group D,bachelor's degree,free/reduced,None,29,41,47
Female,group C,associate's degree,standard,None,62,74,70
Female,group C,associate's degree,standard,Completed,68,67,73
Female,group C,some high school,standard,None,47,54,53
Male,group E,associate's degree,standard,Completed,62,61,58
Female,group E,associate's degree,standard,Completed,79,88,94
Male,group B,high school,standard,Completed,73,69,68
Female,group C,bachelor's degree,free/reduced,Completed,66,83,83
Male,group C,associate's degree,standard,Completed,51,60,58
Female,group D,high school,standard,None,51,66,62
Male,group E,bachelor's degree,standard,Completed,85,66,71
Male,group A,associate's degree,standard,Completed,97,92,86
Male,group C,high school,standard,Completed,75,69,68
Male,group D,associate's degree,free/reduced,Completed,79,82,80
Female,group C,associate's degree,standard,None,81,77,79
Female,group D,associate's degree,standard,None,82,95,89
Female,group D,master's degree,standard,None,64,63,66
Male,group E,some high school,free/reduced,Completed,78,83,80
Female,group A,some high school,standard,Completed,92,100,97
Male,group C,high school,standard,Completed,72,67,64
Female,group C,high school,free/reduced,None,62,67,64
Male,group C,master's degree,standard,None,79,72,69
Male,group C,some high school,free/reduced,None,79,76,65
Male,group B,bachelor's degree,free/reduced,Completed,87,90,88
Female,group B,associate's degree,standard,None,40,48,50
Male,group D,some college,free/reduced,None,77,62,64
Male,group E,associate's degree,standard,None,53,45,40
Female,group C,some college,free/reduced,None,32,39,33
Female,group C,associate's degree,standard,Completed,55,72,79
Male,group C,master's degree,free/reduced,None,61,67,66
Female,group B,associate's degree,free/reduced,None,53,70,70
Male,group D,some high school,standard,None,73,66,62
Female,group D,some college,standard,Completed,74,75,79
Female,group C,some college,standard,None,63,74,74
Male,group C,bachelor's degree,standard,Completed,96,90,92
Female,group D,some college,free/reduced,Completed,63,80,80
Male,group B,bachelor's degree,free/reduced,None,48,51,46
Male,group B,associate's degree,standard,None,48,43,45
Female,group E,bachelor's degree,free/reduced,Completed,92,100,100
Female,group D,master's degree,free/reduced,Completed,61,71,78
Male,group B,high school,free/reduced,None,63,48,47
Male,group D,bachelor's degree,free/reduced,None,68,68,67
Male,group B,some college,standard,Completed,71,75,70
Male,group A,bachelor's degree,standard,None,91,96,92
Female,group C,some college,standard,None,53,62,56
Female,group C,high school,free/reduced,Completed,50,66,64
Female,group E,high school,standard,None,74,81,71
Male,group A,associate's degree,free/reduced,Completed,40,55,53
Male,group A,some college,standard,Completed,61,51,52
Female,group B,high school,standard,None,81,91,89
Female,group B,some college,free/reduced,Completed,48,56,58
Female,group D,master's degree,standard,None,53,61,68
Female,group D,some high school,standard,None,81,97,96
Female,group E,some high school,standard,None,77,79,80
Female,group D,bachelor's degree,free/reduced,None,63,73,78
Female,group D,associate's degree,standard,Completed,73,75,80
Female,group D,some college,standard,None,69,77,77
Female,group C,associate's degree,standard,None,65,76,76
Female,group A,high school,standard,None,55,73,73
Female,group C,bachelor's degree,free/reduced,None,44,63,62
Female,group C,some college,standard,None,54,64,65
Female,group A,some high school,standard,None,48,66,65
Male,group C,some college,free/reduced,None,58,57,54
Male,group A,some high school,standard,None,71,62,50
Male,group E,bachelor's degree,standard,None,68,68,64
Female,group E,high school,standard,None,74,76,73
Female,group C,bachelor's degree,standard,Completed,92,100,99
Female,group C,bachelor's degree,standard,Completed,56,79,72
Male,group B,high school,free/reduced,None,30,24,15
Male,group A,some high school,standard,None,53,54,48
Female,group D,high school,standard,None,69,77,73
Female,group D,some high school,standard,None,65,82,81
Female,group D,master's degree,standard,None,54,60,63
Female,group C,high school,standard,None,29,29,30
Female,group E,some college,standard,None,76,78,80
Male,group D,high school,free/reduced,None,60,57,51
Male,group D,master's degree,free/reduced,Completed,84,89,90
Male,group C,some high school,standard,None,75,72,62
Female,group C,associate's degree,standard,None,85,84,82
Female,group C,master's degree,free/reduced,None,40,58,54
Female,group E,some college,standard,None,61,64,62
Female,group B,associate's degree,standard,None,58,63,65
Male,group D,some college,free/reduced,Completed,69,60,63
Female,group C,some college,standard,None,58,59,66
Male,group C,bachelor's degree,standard,Completed,94,90,91
Female,group C,associate's degree,standard,None,65,77,74
Female,group A,associate's degree,standard,None,82,93,93
Female,group C,high school,standard,None,60,68,72
Female,group E,bachelor's degree,standard,None,37,45,38
Male,group D,bachelor's degree,standard,None,88,78,83
Male,group D,master's degree,standard,None,95,81,84
Male,group C,associate's degree,free/reduced,Completed,65,73,68
Female,group C,high school,free/reduced,None,35,61,54
Male,group B,bachelor's degree,free/reduced,None,62,63,56
Male,group C,high school,free/reduced,Completed,58,51,52
Male,group A,some college,standard,Completed,100,96,86
Female,group E,bachelor's degree,free/reduced,None,61,58,62
Male,group D,some college,standard,Completed,100,97,99
Male,group B,associate's degree,free/reduced,Completed,69,70,63
Male,group D,associate's degree,standard,None,61,48,46
Male,group D,some college,free/reduced,None,49,57,46
Female,group C,some high school,standard,Completed,44,51,55
Male,group D,some college,standard,None,67,64,70
Male,group B,high school,standard,None,79,60,65
Female,group B,bachelor's degree,standard,Completed,66,74,81
Female,group C,high school,standard,None,75,88,85
Male,group D,some high school,standard,None,84,84,80
Male,group A,high school,standard,None,71,74,64
Female,group B,high school,free/reduced,Completed,67,80,81
Female,group D,some high school,standard,Completed,80,92,88
Male,group E,some college,standard,None,86,76,74
Female,group D,associate's degree,standard,None,76,74,73
Male,group D,high school,standard,None,41,52,51
Female,group D,associate's degree,free/reduced,Completed,74,88,90
Female,group B,some high school,free/reduced,None,72,81,79
Female,group E,high school,standard,Completed,74,79,80
Male,group B,high school,standard,None,70,65,60
Female,group B,bachelor's degree,standard,Completed,65,81,81
Female,group D,associate's degree,standard,None,59,70,65
Female,group E,high school,free/reduced,None,64,62,68
Female,group B,high school,standard,None,50,53,55
Female,group D,some college,standard,Completed,69,79,81
Male,group C,some high school,free/reduced,Completed,51,56,53
Female,group A,high school,standard,Completed,68,80,76
Female,group D,some college,standard,Completed,85,86,98
Female,group A,associate's degree,standard,Completed,65,70,74
Female,group B,some high school,standard,None,73,79,79
Female,group B,some college,standard,None,62,67,67
Male,group C,associate's degree,free/reduced,None,77,67,64
Male,group D,some high school,standard,None,69,66,61
Female,group D,associate's degree,free/reduced,None,43,60,58
Male,group D,associate's degree,standard,None,90,87,85
Male,group C,some college,free/reduced,None,74,77,73
Male,group C,some high school,standard,None,73,66,63
Female,group D,some college,free/reduced,None,55,71,69
Female,group C,high school,standard,None,65,69,67
Male,group D,associate's degree,standard,None,80,63,63
Female,group C,some high school,free/reduced,Completed,50,60,60
Female,group C,some college,free/reduced,Completed,63,73,71
Female,group B,bachelor's degree,free/reduced,None,77,85,87
Male,group C,some college,standard,None,73,74,61
Male,group D,associate's degree,standard,Completed,81,72,77
Female,group C,high school,free/reduced,None,66,76,68
Male,group D,associate's degree,free/reduced,None,52,57,50
Female,group C,some college,standard,None,69,78,76
Female,group C,associate's degree,standard,Completed,65,84,84
Female,group D,high school,standard,Completed,69,77,78
Female,group B,some college,standard,Completed,50,64,66
Female,group E,some college,standard,Completed,73,78,76
Female,group C,some high school,standard,Completed,70,82,76
Male,group D,associate's degree,free/reduced,None,81,75,78
Male,group D,some college,free/reduced,None,63,61,60
Female,group D,high school,standard,None,67,72,74
Male,group B,high school,standard,None,60,68,60
Male,group B,high school,standard,None,62,55,54
Female,group C,some high school,free/reduced,Completed,29,40,44
Male,group B,some college,standard,Completed,62,66,68
Female,group E,master's degree,standard,Completed,94,99,100
Male,group E,some college,standard,Completed,85,75,68
Male,group D,associate's degree,free/reduced,None,77,78,73
Male,group A,high school,free/reduced,None,53,58,44
Male,group E,some college,free/reduced,None,93,90,83
Female,group C,associate's degree,standard,None,49,53,53
Female,group E,associate's degree,free/reduced,None,73,76,78
Female,group C,bachelor's degree,free/reduced,Completed,66,74,81
Female,group D,associate's degree,standard,None,77,77,73
Female,group C,some high school,standard,None,49,63,56
Female,group D,some college,free/reduced,None,79,89,86
Female,group C,associate's degree,standard,Completed,75,82,90
Female,group A,bachelor's degree,standard,None,59,72,70
Female,group D,associate's degree,standard,Completed,57,78,79
Male,group C,high school,free/reduced,None,66,66,59
Female,group E,bachelor's degree,standard,Completed,79,81,82
Female,group B,some high school,standard,None,57,67,72
Male,group A,bachelor's degree,standard,Completed,87,84,87
Female,group D,some college,standard,None,63,64,67
Female,group B,some high school,free/reduced,Completed,59,63,64
Male,group A,bachelor's degree,free/reduced,None,62,72,65
Male,group D,high school,standard,None,46,34,36
Male,group C,some college,standard,None,66,59,52
Male,group D,high school,standard,None,89,87,79
Female,group D,associate's degree,free/reduced,Completed,42,61,58
Male,group C,some college,standard,Completed,93,84,90
Female,group E,some high school,standard,Completed,80,85,85
Female,group D,some college,standard,None,98,100,99
Male,group D,master's degree,standard,None,81,81,84
Female,group B,some high school,standard,Completed,60,70,74
Female,group B,associate's degree,free/reduced,Completed,76,94,87
Male,group C,associate's degree,standard,Completed,73,78,72
Female,group C,associate's degree,standard,Completed,96,96,99
Female,group C,high school,standard,None,76,76,74
Male,group E,associate's degree,free/reduced,Completed,91,73,80
Female,group C,some college,free/reduced,None,62,72,70
Male,group D,some high school,free/reduced,Completed,55,59,59
Female,group B,some high school,free/reduced,Completed,74,90,88
Male,group C,high school,standard,None,50,48,42
Male,group B,some college,standard,None,47,43,41
Male,group E,some college,standard,Completed,81,74,71
Female,group E,associate's degree,standard,Completed,65,75,77
Male,group E,some high school,standard,Completed,68,51,57
Female,group D,high school,free/reduced,None,73,92,84
Male,group C,some college,standard,None,53,39,37
Female,group B,associate's degree,free/reduced,Completed,68,77,80
Male,group A,some high school,free/reduced,None,55,46,43
Female,group C,some college,standard,Completed,87,89,94
Male,group D,some high school,standard,None,55,47,44
Female,group E,some college,free/reduced,None,53,58,57
Male,group C,master's degree,standard,None,67,57,59
Male,group C,associate's degree,standard,None,92,79,84
Female,group B,some college,free/reduced,Completed,53,66,73
Male,group D,associate's degree,standard,None,81,71,73
Male,group C,high school,free/reduced,None,61,60,55
Male,group D,bachelor's degree,standard,None,80,73,72
Female,group A,associate's degree,free/reduced,None,37,57,56
Female,group C,high school,standard,None,81,84,82
Female,group C,associate's degree,standard,Completed,59,73,72
Male,group B,some college,free/reduced,None,55,55,47
Male,group D,associate's degree,standard,None,72,79,74
Male,group D,high school,standard,None,69,75,71
Male,group C,some college,standard,None,69,64,68
Female,group C,bachelor's degree,free/reduced,None,50,60,59
Male,group B,some college,standard,Completed,87,84,86
Male,group D,some high school,standard,Completed,71,69,68
Male,group E,some college,standard,None,68,72,65
Male,group C,master's degree,free/reduced,Completed,79,77,75
Female,group C,some high school,standard,Completed,77,90,85
Male,group C,associate's degree,free/reduced,None,58,55,53
Female,group E,associate's degree,standard,None,84,95,92
Male,group D,some college,standard,None,55,58,52
Male,group E,bachelor's degree,free/reduced,Completed,70,68,72
Female,group D,some college,free/reduced,Completed,52,59,65
Male,group B,some college,standard,Completed,69,77,77
Female,group C,high school,free/reduced,None,53,72,64
Female,group D,some high school,standard,None,48,58,54
Male,group D,some high school,standard,Completed,78,81,86
Female,group B,high school,standard,None,62,62,63
Male,group D,some college,standard,None,60,63,59
Female,group B,high school,standard,None,74,72,72
Female,group C,high school,standard,Completed,58,75,77
Male,group B,high school,standard,Completed,76,62,60
Female,group D,some high school,standard,None,68,71,75
Male,group A,some college,free/reduced,None,58,60,57
Male,group B,high school,standard,None,52,48,49
Male,group D,bachelor's degree,standard,None,75,73,74
Female,group B,some high school,free/reduced,Completed,52,67,72
Female,group C,bachelor's degree,free/reduced,None,62,78,79
Male,group B,some college,standard,None,66,65,60
Female,group B,some high school,free/reduced,None,49,58,55
Female,group B,high school,standard,None,66,72,70
Female,group C,some college,free/reduced,None,35,44,43
Female,group A,some college,standard,Completed,72,79,82
Male,group E,associate's degree,standard,Completed,94,85,82
Female,group D,associate's degree,free/reduced,None,46,56,57
Female,group B,master's degree,standard,None,77,90,84
Female,group B,high school,free/reduced,Completed,76,85,82
Female,group C,associate's degree,standard,Completed,52,59,62
Male,group C,bachelor's degree,standard,Completed,91,81,79
Female,group B,some high school,standard,Completed,32,51,44
Female,group E,some high school,free/reduced,None,72,79,77
Female,group B,some college,standard,None,19,38,32
Male,group C,associate's degree,free/reduced,None,68,65,61
Female,group C,master's degree,free/reduced,None,52,65,61
Female,group B,high school,standard,None,48,62,60
Female,group D,some college,free/reduced,None,60,66,70
Male,group D,high school,free/reduced,None,66,74,69
Male,group E,some high school,standard,Completed,89,84,77
Female,group B,high school,standard,None,42,52,51
Female,group E,associate's degree,free/reduced,Completed,57,68,73
Male,group D,high school,standard,None,70,70,70
Female,group E,associate's degree,free/reduced,None,70,84,81
Male,group E,some college,standard,None,69,60,54
Female,group C,associate's degree,standard,None,52,55,57
Male,group C,some high school,standard,Completed,67,73,68
Male,group C,some high school,standard,Completed,76,80,73
Female,group E,associate's degree,standard,None,87,94,95
Female,group B,some college,standard,None,82,85,87
Female,group C,some college,standard,None,73,76,78
Male,group A,some college,free/reduced,None,75,81,74
Female,group D,some college,free/reduced,None,64,74,75
Female,group E,high school,free/reduced,None,41,45,40
Male,group C,high school,standard,None,90,75,69
Male,group B,bachelor's degree,standard,None,59,54,51
Male,group A,some high school,standard,None,51,31,36
Male,group A,high school,free/reduced,None,45,47,49
Female,group C,master's degree,standard,Completed,54,64,67
Male,group E,some high school,standard,Completed,87,84,76
Female,group C,high school,standard,None,72,80,83
Male,group B,some high school,standard,Completed,94,86,87
Female,group A,bachelor's degree,standard,None,45,59,64
Male,group D,bachelor's degree,free/reduced,Completed,61,70,76
Female,group B,high school,free/reduced,None,60,72,68
Female,group C,some high school,standard,None,77,91,88
Female,group A,some high school,standard,Completed,85,90,92
Female,group D,bachelor's degree,free/reduced,None,78,90,93
Male,group E,some college,free/reduced,Completed,49,52,51
Female,group B,high school,free/reduced,None,71,87,82
Female,group C,some high school,free/reduced,None,48,58,52
Male,group C,high school,standard,None,62,67,58
Female,group C,associate's degree,free/reduced,Completed,56,68,70
Female,group C,some high school,standard,None,65,69,76
Female,group D,some high school,free/reduced,Completed,69,86,81
Male,group B,some high school,standard,None,68,54,53
Female,group A,some college,free/reduced,None,61,60,57
Female,group C,bachelor's degree,free/reduced,Completed,74,86,89
Male,group A,bachelor's degree,standard,None,64,60,58
Female,group B,high school,standard,Completed,77,82,89
Male,group B,some college,standard,None,58,50,45
Female,group C,high school,standard,Completed,60,64,74
Male,group E,high school,standard,None,73,64,57
Female,group A,high school,standard,Completed,75,82,79
Male,group B,associate's degree,free/reduced,Completed,58,57,53
Female,group C,associate's degree,standard,None,66,77,73
Female,group D,high school,free/reduced,None,39,52,46
Male,group C,some high school,standard,None,64,58,51
Female,group B,high school,free/reduced,Completed,23,44,36
Male,group B,some college,free/reduced,Completed,74,77,76
Female,group D,some high school,free/reduced,Completed,40,65,64
Male,group E,master's degree,standard,None,90,85,84
Male,group C,master's degree,standard,Completed,91,85,85
Male,group D,high school,standard,None,64,54,50
Female,group C,high school,standard,None,59,72,68
Male,group D,associate's degree,standard,None,80,75,69
Male,group C,master's degree,standard,None,71,67,67
Female,group A,high school,standard,None,61,68,63
Female,group E,some college,standard,None,87,85,93
Male,group E,some high school,standard,None,82,67,61
Male,group C,some high school,standard,None,62,64,55
Female,group B,bachelor's degree,standard,None,97,97,96
Male,group B,some college,free/reduced,None,75,68,65
Female,group C,bachelor's degree,standard,None,65,79,81
Male,group B,high school,standard,Completed,52,49,46
Male,group C,associate's degree,free/reduced,None,87,73,72
Female,group C,associate's degree,standard,None,53,62,53
Female,group E,master's degree,free/reduced,None,81,86,87
Male,group D,bachelor's degree,free/reduced,Completed,39,42,38
Female,group C,some college,standard,Completed,71,71,80
Male,group C,associate's degree,standard,None,97,93,91
Male,group D,some college,standard,Completed,82,82,88
Male,group C,high school,free/reduced,None,59,53,52
Male,group B,associate's degree,standard,None,61,42,41
Male,group E,associate's degree,free/reduced,Completed,78,74,72
Male,group C,associate's degree,free/reduced,None,49,51,51
Male,group B,high school,standard,None,59,58,47
Female,group C,some college,standard,Completed,70,72,76
Male,group B,associate's degree,standard,Completed,82,84,78
Male,group E,associate's degree,free/reduced,None,90,90,82
Female,group C,bachelor's degree,free/reduced,None,43,62,61
Male,group C,some college,free/reduced,None,80,64,66
Male,group D,some college,standard,None,81,82,84
Male,group C,some high school,standard,None,57,61,54
Female,group D,some high school,standard,None,59,72,80
Female,group D,associate's degree,standard,None,64,76,74
Male,group C,bachelor's degree,standard,Completed,63,64,66
Female,group E,bachelor's degree,standard,Completed,71,70,70
Female,group B,high school,free/reduced,None,64,73,71
Male,group D,bachelor's degree,free/reduced,None,55,46,44
Female,group E,associate's degree,standard,None,51,51,54
Female,group C,associate's degree,standard,Completed,62,76,80
Female,group E,associate's degree,standard,Completed,93,100,95
Male,group C,high school,free/reduced,None,54,72,59
Female,group D,some college,free/reduced,None,69,65,74
Male,group D,high school,free/reduced,None,44,51,48
Female,group E,some college,standard,Completed,86,85,91
Female,group E,associate's degree,standard,None,85,92,85
Female,group A,master's degree,free/reduced,None,50,67,73
Male,group D,some high school,standard,Completed,88,74,75
Female,group E,associate's degree,standard,None,59,62,69
Female,group E,some high school,free/reduced,None,32,34,38
Male,group B,high school,free/reduced,None,36,29,27
Female,group B,some high school,free/reduced,Completed,63,78,79
Male,group D,associate's degree,standard,Completed,67,54,63
Female,group D,some high school,standard,Completed,65,78,82
Male,group D,master's degree,standard,None,85,84,89
Female,group C,master's degree,standard,None,73,78,74
Female,group A,high school,free/reduced,Completed,34,48,41
Female,group D,bachelor's degree,free/reduced,Completed,93,100,100
Female,group D,some high school,free/reduced,None,67,84,84
Male,group D,some college,standard,None,88,77,77
Male,group B,high school,standard,None,57,48,51
Female,group D,some college,standard,Completed,79,84,91
Female,group C,bachelor's degree,free/reduced,None,67,75,72
Male,group E,bachelor's degree,standard,Completed,70,64,70
Male,group D,bachelor's degree,free/reduced,None,50,42,48
Female,group A,some college,standard,None,69,84,82
Female,group C,bachelor's degree,standard,Completed,52,61,66
Female,group C,bachelor's degree,free/reduced,Completed,47,62,66
Female,group B,associate's degree,free/reduced,None,46,61,55
Female,group E,some college,standard,None,68,70,66
Male,group E,bachelor's degree,standard,Completed,100,100,100
Female,group C,high school,standard,None,44,61,52
Female,group C,associate's degree,standard,Completed,57,77,80
Male,group B,some college,standard,Completed,91,96,91
Male,group D,high school,free/reduced,None,69,70,67
Female,group C,high school,free/reduced,None,35,53,46
Male,group D,high school,standard,None,72,66,66
Female,group B,associate's degree,free/reduced,None,54,65,65
Male,group D,high school,free/reduced,None,74,70,69
Male,group E,some high school,standard,Completed,74,64,60
Male,group E,associate's degree,free/reduced,None,64,56,52
Female,group D,high school,free/reduced,Completed,65,61,71
Male,group E,associate's degree,free/reduced,Completed,46,43,44
Female,group C,some high school,free/reduced,None,48,56,51
Male,group C,some college,free/reduced,Completed,67,74,70
Male,group D,some college,free/reduced,None,62,57,62
Male,group D,associate's degree,free/reduced,Completed,61,71,73
Male,group C,bachelor's degree,free/reduced,Completed,70,75,74
Male,group C,associate's degree,standard,Completed,98,87,90
Male,group D,some college,free/reduced,None,70,63,58
Male,group A,associate's degree,standard,None,67,57,53
Female,group E,high school,free/reduced,None,57,58,57
Male,group D,some college,standard,Completed,85,81,85
Male,group D,some high school,standard,Completed,77,68,69
Male,group C,master's degree,free/reduced,Completed,72,66,72
Female,group D,master's degree,standard,None,78,91,96
Male,group C,high school,standard,None,81,66,64
Male,group A,some high school,free/reduced,Completed,61,62,61
Female,group B,high school,standard,None,58,68,61
Female,group C,associate's degree,standard,None,54,61,58
Male,group B,high school,standard,None,82,82,80
Female,group D,some college,free/reduced,None,49,58,60
Male,group B,some high school,free/reduced,Completed,49,50,52
Female,group E,high school,free/reduced,Completed,57,75,73
Male,group E,high school,standard,None,94,73,71
Female,group D,some college,standard,Completed,75,77,83
Female,group E,some high school,free/reduced,None,74,74,72
Male,group C,high school,standard,Completed,58,52,54
Female,group C,some college,standard,None,62,69,69
Male,group E,associate's degree,standard,None,72,57,62
Male,group C,some college,standard,None,84,87,81
Female,group D,master's degree,standard,None,92,100,100
Female,group D,high school,standard,None,45,63,59
Male,group C,high school,standard,None,75,81,71
Female,group A,some college,standard,None,56,58,64
Female,group D,some high school,free/reduced,None,48,54,53
Female,group E,associate's degree,standard,None,100,100,100
Female,group C,some high school,free/reduced,Completed,65,76,75
Male,group D,some college,standard,None,72,57,58
Female,group D,some college,standard,None,62,70,72
Male,group A,some high school,standard,Completed,66,68,64
Male,group C,some college,standard,None,63,63,60
Female,group E,associate's degree,standard,None,68,76,67
Female,group B,bachelor's degree,standard,None,75,84,80
Female,group D,bachelor's degree,standard,None,89,100,100
Male,group C,some high school,standard,Completed,78,72,69
Female,group A,high school,free/reduced,Completed,53,50,60
Female,group D,some college,free/reduced,None,49,65,61
Female,group A,some college,standard,None,54,63,67
Female,group C,some college,standard,Completed,64,82,77
Male,group B,some college,free/reduced,Completed,60,62,60
Male,group C,associate's degree,standard,None,62,65,58
Male,group D,high school,standard,Completed,55,41,48
Female,group C,associate's degree,standard,None,91,95,94
Female,group B,high school,free/reduced,None,8,24,23
Male,group D,some high school,standard,None,81,78,78
Male,group B,some high school,standard,Completed,79,85,86
Female,group A,some college,standard,Completed,78,87,91
Female,group C,some high school,standard,None,74,75,82
Male,group A,high school,standard,None,57,51,54
Female,group C,associate's degree,standard,None,40,59,51
Male,group E,some high school,standard,Completed,81,75,76
Female,group A,some high school,free/reduced,None,44,45,45
Female,group D,some college,free/reduced,Completed,67,86,83
Male,group E,high school,free/reduced,Completed,86,81,75
Female,group B,some high school,standard,Completed,65,82,78
Female,group D,associate's degree,free/reduced,None,55,76,76
Female,group D,bachelor's degree,free/reduced,None,62,72,74
Male,group A,high school,standard,None,63,63,62
Female,group E,master's degree,standard,Completed,88,99,95
Male,group C,high school,free/reduced,None,62,55,55
Female,group C,high school,free/reduced,Completed,59,71,65
Female,group D,some college,standard,Completed,68,78,77
Female,group D,some college,free/reduced,None,77,86,86
